الخطأ,الصواب,التفسير
أَخَالُهُ خَائِفًا بِفَتْحِ هَمْزَةِ «أَخَالُ» بِمَعْنَى «أَظُنُّهُ خَائِفًا»). ,إِخَالُهُ خَائِفًا بِكَسْرِ هَمْزَةِ «إِخَالُ» بِمَعْنَى «أَظُنُّهُ خَائِفًا»). ,"كَثِيرًا مَا يُسْتَخْدَمُ الْفِعْلُ «خَالَ» فِي صِيغَةِ الْمُضَارِعِ لِلْمُتَكَلِّمِ بِفَتْحِ الْهَمْزَةِ عَلَى الصُّورَةِ «أَخَالُ»، وَهَذَا هُوَ الْقِيَاسُ بِالْفِعْلِ مِثْلَ «أَنَامُ» وَ«أَغَارُ»... وَلَكِنْ الْعَرَبَ لَمْ يَسْتَخْدِمُوا هَذَا الْفِعْلَ عَلَى قِيَاسِهِ إِلَّا الصواب:يلًا مِنْهُمْ لَا يُحْتَجُ بِهِمْ وَلَا أَظُنُّ أَنَّ مِنْ تَحْدِيثِ اللُّغَةِ مُجَرِّدَ مُخَالَفَةِ مَا جَاءَ بِهِ الْعَرَبُ الْأَوَّلُونَ، خُصُوصًا إِذَا كَانَ هَذَا الَّذِي جَاؤُوا بِهِ مُخَالِفًا لِلْقَاعِدَةِ أَصْلًا! فَبَعْضُنَا يَظُنُّ أَنَّ التَّحْدِيثَ وَالتَّطْوِيرَ فِي اللُّغَةِ هُوَ مُخَالَفَةُ مَا جَاءَ عَنْ لِسَانِ الْأَوَّلِينَ مِنْ أَصْحَابِهَا وَلَلهِ الْأَمْرُ مِنْ قَبْلُ وَمِنْ بَعْدُ. 
وَقَدْ جَاءَ فِي أَشْعَارِ الْعَرَبِ وَفِي الْمَعَاجِمِ الْعَرَبِيَّةِ الْقَدِيمَةِ وَالْحَدِيثَةِ مَا يُؤَكِّدُ هَذَا، فَقَدْ جَاءَ مَثَلًا فِي الْمِصْبَاحُ الْمُنِيرُ»: «وَخَالَ الرَّجُلُ الشَّيْءَ يَخَالُهُ خَيْلًا مِنْ بَابِ نَالَ إِذَا ظَنَّهُ وَخَالَهُ يَخِيلُهُ مِنْ بَابِ بَاعَ لُغَةٌ وَفِي الْمُضَارِع لِلْمُتَكَلِّمِ إِخَالُ بِكَسْرِ الْهَمْزَةِ عَلَى غَيْرِ قِيَاسٍ وَهُوَ أَكْثَرُ اسْتِعْمَالًا وَبَنُو أَسَدٍ يَفْتَحُونَ عَلَى الْقِيَاسِ». 
كَمَا جَاءَ فِي «الْمُعْجَمُ الْوَسِيطُ» عَنْ زُهَيْرٍ أَنَّهُ أَنْشَدَ يَقُولُ: وَمَا أَدْرِي وَسَوْفَ إِخَالُ أَدْرِي أَقَوْمٌ آلُ حِصْنٍ أَمْ نِسَاءُ وَلَا أَظُنُّ لِشُيُوعِ الْهَمْزَةِ الْمَفْتُوحَةِ فِي هَذَا سَبَبًا إِلَّا أَنْهَا عَلَى الْقِيَاسِ، وَأَنْ الْغَالِبِيَّةَ لَا تَعْرِفُ أَنْ هَذَا الْفِعْلَ جَاءَ عَلَى غَيْرِ الْقِيَاسِ. وَهَذِهِ دَعْوَةٌ لِنَشْرِ مَا صَحْ عَنِ الْعَرَبِ فِي نُطْقِهِمْ لِهَذَا الْفِعْلِ. 
وَلَيْسَ الْغَرَضُ مِنْ ذِكْرِ هَذَا الْخَطَا الشَّائِعِ مُجَرِّدَ التَّمَسُّكِ بِمَا قَالَهُ الْأَقْدَمُونَ وَلَوْ كَانَ عَلَى غَيْرِ الْقِيَاسِ، فَالْقِيَاسُ أَوْلَى بِالطَّبْعِ، وَلَكِنْ إِذَا كَانَ هَذَا اللَّفْظُ انْتَشَرَ فِي الْمَاضِي بِهَذَا الشَّكْلِ، فَأَخْشَى مَا أَخْشَاهُ أَنْ نُخَالِفَهُ فَنَشْعُرَ بِاغْتِرَابٍ حِينَ نَقْرَؤُهُ عِنْدَ الْقُدَمَاءِ بِشَكْلِهِ الْقَدِيمِ، وَأَظُنُّ الْأَصْوَبَ أَنْ نَتَعَامَلَ مَعَ رَسْمِهِ كَمَا تَعَامَلْنَا مَعَ الْأَلِفِ الْمَحْذُوفَةِ مِنْ هَذَا» وَذَلِكَ» و«هَؤُلَاءِ» و«أولئك» وَغَيْرِهَا. فَفِي هَذِهِ الْكَلِمَاتِ نَجِدُ الْأَلِفَ الْمَنْطُوقَ غَيْرَ الْمَرْسُومِ، وَالْوَاوَ الْمَرْسُومَةَ غَيْرَ الْمَنْطُوقَةِ، إلخ، وَنَتَعَامَلُ مَعَهَا جَمِيعًا عَلَى ثَبَاتِهَا وَاسْتِفْرَارِهَا فِي الْإِمْلَاءِ الْعَرَبِيِّ، وَنَتَوَارَثُهَا نَقْلًا: خَارِجَ قَوَاعِدِ الْإِمْلَاءِ. "
دَمَجْتُ الشَّيْءَ فِي الشَّيْءِ.,أَدْمَجْتُ الشَّيْءَ فِي الشَّيْءِ. ,"كَثِيرًا مَا يُسْتَخْدَمُ الْفِعْلُ دَمَجَ» مُتَعَدِّيَّا عَلَى الرَّغْمِ مِنْ أَنَّهُ فِعْلٌ لَازِمٌ، فَيَقُولُ الْبَعْضُ: «دَمَجْتُ فَصْلَيْنِ مِنَ الْكِتَابِ بِمَعْنَى إِدْخَالِ أَحَدِهِمَا فِي الْآخَرِ. وَلَكِنَّ مَا وَرَدَ فِي الْمَعَاجِمِ الْعَرَبِيَّةِ يَقُولُ إِنَّ الْفِعْلَ «دَمَجَ» فِعْلٌ لَازِمٌ، وَإِذَا قُلْنَا دَمَجَ الْفَصْلَانِ» فَمَعْنَى هَذَا أَنَّهُمَا أُدْخِلَ أَحَدُهُمَا فِي الْآخَرِ. وَأَمَّا الْفِعْلُ «أَدْمَجَ» فَهُوَ مُتَعَدَّ، فَإِذَا قُلْنَا: أَدْمَجَ الْكَاتِبُ الْفَصْلَيْنِ» فَمَعْنَى هَذَا أَنَّهُ أَدْخَلَ أَحَدَهُمَا فِي الْآخَرِ. 
وَقَدْ جَاءَ فِي مُخْتَارُ الصِّحَاحِ»: «دَمَجَ الشَّيْءُ دَخَلَ فِي غَيْرِهِ وَاسْتَحْكَمَ فِيهِ، وَبَابُهُ دَخَلَ، وَكَذَا انْدَمَجَ وَادْمَجَ بِتَشْدِيدِ الدَّالِ. وَأَدْمَجَ الشَّيْءَ لَفْهُ فِي ثَوْبِهِ». 
وَمِنْ هَنَا يَتَّضِحُ الْفَرْقُ بَيْنَ الْفِعْلَيْنِ. "
دَمَجْتُ الشَّيْءَ فِي الشَّيْءِ. ,دَمَجَ الشَّيْءُ فِي الشَّيْءِ. ,"كَثِيرًا مَا يُسْتَخْدَمُ الْفِعْلُ دَمَجَ» مُتَعَدِّيَّا عَلَى الرَّغْمِ مِنْ أَنَّهُ فِعْلٌ لَازِمٌ، فَيَقُولُ الْبَعْضُ: «دَمَجْتُ فَصْلَيْنِ مِنَ الْكِتَابِ بِمَعْنَى إِدْخَالِ أَحَدِهِمَا فِي الْآخَرِ. وَلَكِنَّ مَا وَرَدَ فِي الْمَعَاجِمِ الْعَرَبِيَّةِ يَقُولُ إِنَّ الْفِعْلَ «دَمَجَ» فِعْلٌ لَازِمٌ، وَإِذَا قُلْنَا دَمَجَ الْفَصْلَانِ» فَمَعْنَى هَذَا أَنَّهُمَا أُدْخِلَ أَحَدُهُمَا فِي الْآخَرِ. وَأَمَّا الْفِعْلُ «أَدْمَجَ» فَهُوَ مُتَعَدَّ، فَإِذَا قُلْنَا: أَدْمَجَ الْكَاتِبُ الْفَصْلَيْنِ» فَمَعْنَى هَذَا أَنَّهُ أَدْخَلَ أَحَدَهُمَا فِي الْآخَرِ. 
وَقَدْ جَاءَ فِي مُخْتَارُ الصِّحَاحِ»: «دَمَجَ الشَّيْءُ دَخَلَ فِي غَيْرِهِ وَاسْتَحْكَمَ فِيهِ، وَبَابُهُ دَخَلَ، وَكَذَا انْدَمَجَ وَادْمَجَ بِتَشْدِيدِ الدَّالِ. وَأَدْمَجَ الشَّيْءَ لَفْهُ فِي ثَوْبِهِ». 
وَمِنْ هَنَا يَتَّضِحُ الْفَرْقُ بَيْنَ الْفِعْلَيْنِ. "
لَقَدْ ارْتُجُ عَلَيْهِ فَلَمْ يَسْتَطِعِ الْكَلَامَ بِبِنَاءِ الْفِعْلِ «ارْتَجَّ» لِلْمَجْهُولِ بِمَعْنَى اسْتِغْلَاقِ الْكَلَامِ عَلَى الْفَهْمِ). ,"لَقَدْ أَرْتِجَ عَلَيْهِ فَلَمْ يَسْتَطِعِ الْكَلَامَ بِبِنَاءِ الْفِعْلِ «أَرْتَجَ» لِلْمَجْهُولِ، بِمَعْنَى اسْتِغْلَاقِ الْكَلَامِ عَلَى الْفَهْمِ).","يُخْطِئُ كَثِيرُونَ وَكُنْتُ مِنْهُمْ بِاسْتِخْدَامِ التَّعْبِيرِ «ارْتُجُ عَلَيْهِ» لِلدِّلالَةِ عَلَى حَالَةِ اسْتِغْلَاقِ الْمَعْنَى عَلَى السَّامِعِ وَعَدَمِ اسْتِطَاعَتِهِ الرَّدِّ، وَيَبْدُو أَنَّ شُيُوعَ هَذَا الْخَطَا سَبَبُهُ تَشَابُهُ الرَّسْمِ بَيْنَ الْفِعْلَيْنِ «أَرْتجَ» و«ارْتُجَّ» في حَالَةِ عَدَمِ التَّشْكِيلِ، خُصُوصًا إِذَا كَانَ الْفِعْلُ «أَرْتَجَ» قَلِيلَ الِاسْتِخْدَامِ. وَإِذَا تَأَمَّلْنَا الْفِعْلَ «ارْتُجَّ لَوَجَدْنَا أَنَّهُ لَا عَلَاقَةَ لِمَعْنَاهُ بِاسْتِغْلَاقِ الْمَعْنَى، إِلَّا إِذَا دُرْنَا حَوْلَ التَّعْبِيرِ دَوْرَةٌ مَجَازِيَّةٌ وَاسِعَةً جِدًّا نَنْسَى فِي نِهَايَتِهَا الْمُرَادَ مِنَ الْجُمْلَةِ أَصْلًا. وَقَدْ وَرَدَ فِي «أَسَاسُ الْبَلَاغَةِ»: «وَاسْتَبْهَمَ عَلَى الرَّجُلِ: أَرْتجَ عَلَيْهِ». أَمَّا الْفِعْلُ «ارْتَجَّ» فَيُمْكِنُ اسْتِخْدَامُهُ فِي هَذَا الْبَابِ فِي مَعْنَى اخْتِلَاطِ الْمَعْنَى وَاضْطِرَابِهِ وَالْتِبَاسِهِ، لَا فِي اسْتِغْلَاقِهِ عَلَى الْفَهْمِ، وَفِي هَذِهِ الْحَالَةِ نَقُولُ: «ارْتَجُ عَلَيَّ الْكَلَامُ». 
وَقَدْ جَاءَ فِي أَسَاسُ الْبَلَاغَةِ»: «وَمِنَ الْمَجَازِ ارْتَجَّ عَلَيْهِ الْكَلَامُ: اضْطَرَبَ وَالْتَبَسَ»."
لَقَدْ ارْتُجُ عَلَيْهِ فَلَمْ يَسْتَطِعِ الْكَلَامَ بِبِنَاءِ الْفِعْلِ «ارْتَجَّ» لِلْمَجْهُولِ بِمَعْنَى اسْتِغْلَاقِ الْكَلَامِ عَلَى الْفَهْمِ). ,لَقَدِ ارْتَجْ عَلَيْهِ الْكَلَامُ بِمَعْنَى اضْطِرَابِ الْمَعْنَى وَالْتِبَاسِهِ).,"يُخْطِئُ كَثِيرُونَ وَكُنْتُ مِنْهُمْ بِاسْتِخْدَامِ التَّعْبِيرِ «ارْتُجُ عَلَيْهِ» لِلدِّلالَةِ عَلَى حَالَةِ اسْتِغْلَاقِ الْمَعْنَى عَلَى السَّامِعِ وَعَدَمِ اسْتِطَاعَتِهِ الرَّدِّ، وَيَبْدُو أَنَّ شُيُوعَ هَذَا الْخَطَا سَبَبُهُ تَشَابُهُ الرَّسْمِ بَيْنَ الْفِعْلَيْنِ «أَرْتجَ» و«ارْتُجَّ» في حَالَةِ عَدَمِ التَّشْكِيلِ، خُصُوصًا إِذَا كَانَ الْفِعْلُ «أَرْتَجَ» قَلِيلَ الِاسْتِخْدَامِ. وَإِذَا تَأَمَّلْنَا الْفِعْلَ «ارْتُجَّ لَوَجَدْنَا أَنَّهُ لَا عَلَاقَةَ لِمَعْنَاهُ بِاسْتِغْلَاقِ الْمَعْنَى، إِلَّا إِذَا دُرْنَا حَوْلَ التَّعْبِيرِ دَوْرَةٌ مَجَازِيَّةٌ وَاسِعَةً جِدًّا نَنْسَى فِي نِهَايَتِهَا الْمُرَادَ مِنَ الْجُمْلَةِ أَصْلًا. وَقَدْ وَرَدَ فِي «أَسَاسُ الْبَلَاغَةِ»: «وَاسْتَبْهَمَ عَلَى الرَّجُلِ: أَرْتجَ عَلَيْهِ». أَمَّا الْفِعْلُ «ارْتَجَّ» فَيُمْكِنُ اسْتِخْدَامُهُ فِي هَذَا الْبَابِ فِي مَعْنَى اخْتِلَاطِ الْمَعْنَى وَاضْطِرَابِهِ وَالْتِبَاسِهِ، لَا فِي اسْتِغْلَاقِهِ عَلَى الْفَهْمِ، وَفِي هَذِهِ الْحَالَةِ نَقُولُ: «ارْتَجُ عَلَيَّ الْكَلَامُ». 
وَقَدْ جَاءَ فِي أَسَاسُ الْبَلَاغَةِ»: «وَمِنَ الْمَجَازِ ارْتَجَّ عَلَيْهِ الْكَلَامُ: اضْطَرَبَ وَالْتَبَسَ». "
أَذْرَى بِهِ الْمَرَضُ مَعْنَى حَقْرَهُ وَأَهَانَهُ).,أَزْرَى الرّجُلُ بِالرَّجُلِ بِمَعْنَى حَفْرَهُ وَأَهَانَهُ). ,"كَثِيرًا مَا يُسْتَعْمَلُ الْفِعْلُ «أَذْرَى» فِي مَوْضِعِ الْفِعْلِ «أَزْرَى»، ظَنًّا أَنَّ الثَّانِيَ غَيْرُ فَصِيحٍ أَوْ أَنَّهُ النُّطْقُ الْعَامِّي لِلْأَوْلِ. لَكِنْ كِلَا الْفِعْلَيْنِ صَحِيحٌ، وَلِكِلَيْهِمَا مَعْنَاهُ. 
الْفِعْلُ «أَدْرَى» مَعْنَاهُ «أَلْقَى»، وَيُسْتَخْدَمُ فِي سِيَاقَاتِ كَالْقَاءِ الْحَبِّ عَلَى الْأَرْضِ لِزَرْعِهَا، وَمِنْهُ اشْتُقَّ اسْمُ الْآلَةِ «الْمِدْرَاةُ». 
جَاءَ فِي لِسَانُ الْعَرَبِ»: «وَأَذْرَيْتُ الشَّيْءَ إِذَا أَلْقَيْتَهُ مِثْلَ إِلْقَائِكَ الْحَبْ للزرع». 
وَجَاءَ فِي «مَقَايِيسُ اللُّغَةِ»: «وَأَذْرَيْتُ الرَّجُلَ عَنْ فَرَسِهِ: رَمَيْتُهُ». 
وَجَاءَ فِي الْمُعْجَمُ الْوَسِيط»: «(أَذْرَتِ الرِّيحُ التُّرَابَ: ذَرَتْهُ. وَ الْعَيْنُ دَمْعَهَا أَسَالَتْهُ وَ الشَّيْءَ : أَلْقَاهُ. وَيُقَالُ: أَذْرَتِ الدَّابَّةُ رَاكِبَهَا، وَأَذْرَى الشَّيْءَ عَنِ الشَّيْءِ، وَأَذْرَى رَأْسَهُ بِالسِّيْفِ». 
أَمَّا الْفِعْلُ «أَزْرَى» فَجَاءَ فِي لِسَانُ الْعَرَبِ»: «وَأَزْرَى بِهِ، بِالْأَلِفِ إِزْرَاءٌ: قَصْرَ بِهِ وَحَقْرَهُ وَهَوْنَهُ». 
وَجَاءَ فِي «مَقَايِيسُ اللُّغَةِ»: «وَأَزْرَيْتَ بِهِ: قَصْرْتُ بِهِ». 
وَجَاءَ فِي لِسَانُ الْعَرَبِ»: «وَالْإِزْرَاءُ : التَّهَاوُنُ بِالشَّيْءِ. يُقَالُ: أَزْرَيْتُ بِهِ، إِذَا قَصَّرْتَ بِهِ وَتَهَاوَنْتَ». 
فَالْفِعْلَانِ صَحِيحَانِ، وَالْفَرْقُ بَيْنَ مَعْنَيَيْهِمَا وَاضِحٌ، وَإِنَّمَا كَانَ الْخَلْطُ بَيْنَ الذَّالِ وَالزَّايِ بِسَبَبٍ خَلْطِ النِّسَانِ الْعَامِّيِّ بَيْنَهُمَا لَا أَكْثَرُ. "
أَذْرَى بِهِ الْمَرَضُ مَعْنَى حَقْرَهُ وَأَهَانَهُ).,أَذْرَيْتُ الْحَبْ فِي الْأَرْضِ مَعْنَى أَلْقَيْتُهُ).,"كَثِيرًا مَا يُسْتَعْمَلُ الْفِعْلُ «أَذْرَى» فِي مَوْضِعِ الْفِعْلِ «أَزْرَى»، ظَنًّا أَنَّ الثَّانِيَ غَيْرُ فَصِيحٍ أَوْ أَنَّهُ النُّطْقُ الْعَامِّي لِلْأَوْلِ. لَكِنْ كِلَا الْفِعْلَيْنِ صَحِيحٌ، وَلِكِلَيْهِمَا مَعْنَاهُ. 
الْفِعْلُ «أَدْرَى» مَعْنَاهُ «أَلْقَى»، وَيُسْتَخْدَمُ فِي سِيَاقَاتِ كَالْقَاءِ الْحَبِّ عَلَى الْأَرْضِ لِزَرْعِهَا، وَمِنْهُ اشْتُقَّ اسْمُ الْآلَةِ «الْمِدْرَاةُ». 
جَاءَ فِي لِسَانُ الْعَرَبِ»: «وَأَذْرَيْتُ الشَّيْءَ إِذَا أَلْقَيْتَهُ مِثْلَ إِلْقَائِكَ الْحَبْ للزرع». 
وَجَاءَ فِي «مَقَايِيسُ اللُّغَةِ»: «وَأَذْرَيْتُ الرَّجُلَ عَنْ فَرَسِهِ: رَمَيْتُهُ». 
وَجَاءَ فِي الْمُعْجَمُ الْوَسِيط»: «(أَذْرَتِ الرِّيحُ التُّرَابَ: ذَرَتْهُ. وَ الْعَيْنُ دَمْعَهَا أَسَالَتْهُ وَ الشَّيْءَ : أَلْقَاهُ. وَيُقَالُ: أَذْرَتِ الدَّابَّةُ رَاكِبَهَا، وَأَذْرَى الشَّيْءَ عَنِ الشَّيْءِ، وَأَذْرَى رَأْسَهُ بِالسِّيْفِ». 
أَمَّا الْفِعْلُ «أَزْرَى» فَجَاءَ فِي لِسَانُ الْعَرَبِ»: «وَأَزْرَى بِهِ، بِالْأَلِفِ إِزْرَاءٌ: قَصْرَ بِهِ وَحَقْرَهُ وَهَوْنَهُ». 
وَجَاءَ فِي «مَقَايِيسُ اللُّغَةِ»: «وَأَزْرَيْتَ بِهِ: قَصْرْتُ بِهِ». 
وَجَاءَ فِي لِسَانُ الْعَرَبِ»: «وَالْإِزْرَاءُ : التَّهَاوُنُ بِالشَّيْءِ. يُقَالُ: أَزْرَيْتُ بِهِ، إِذَا قَصَّرْتَ بِهِ وَتَهَاوَنْتَ». 
فَالْفِعْلَانِ صَحِيحَانِ، وَالْفَرْقُ بَيْنَ مَعْنَيَيْهِمَا وَاضِحٌ، وَإِنَّمَا كَانَ الْخَلْطُ بَيْنَ الذَّالِ وَالزَّايِ بِسَبَبٍ خَلْطِ النِّسَانِ الْعَامِّيِّ بَيْنَهُمَا لَا أَكْثَرُ. "
اسْتَأْسَرْتُ بِهِ لِنَفْسِي بِمَعْنَى خَصَصْتُ بِهِ نَفْسِي»,اسْتَأْثَرْتُ بِهِ لِنَفْسِي بِمَعْنَى خَصَصْتُ بِهِ نَفْسِي»,"كَثِيرًا مَا يُسْتَخْدَمُ الْفِعْلُ «اسْتَأْسَرَ» لِمَعْنَى الِاخْتِصَاصِ، فَنَقُولُ: اسْتَأْسَرَ اللَّاعِبُ بِالْكُرَةِ» أَيْ خَصَّ بِهَا نَفْسَهُ وَلَمْ يُعْطِهَا سِوَاهُ. وَالصَّوَابُ أَنْ نَسْتَخْدِمَ الْفِعْلَ اسْتَأْثَرَ»، لِأَنَّ هَذَا الْمَعْنَى مِنَ الْأَثَرَةِ، وَهِيَ تَفْضِيلُ النَّفْسِ عَلَى الْآخَرِ، فَنَقُولَ: «اسْتَأْثَرْتُ بِهِ لِنَفْسِي»، و«اسْتَأْثَرَ اللَّاعِبُ بِالْكُرَةِ»... فَقَدْ جَاءَ فِي «الْمُعْجَمُ الْوَسِيط» مُتَّفِقًا مَعَ بَقِيَّةِ الْمَعَاجِمِ: (اسْتَأْثَرَ) بِهِ: خَصَّ بِهِ نَفْسَهُ. وَ اللهُ فَلَانًا وَبِهِ: تَوَفَّاهُ». 
أَمَّا الْفِعْلُ اسْتَأْسَرَ» فِي الْمَعَاجِمِ فَلَهُ مَعْنَى آخَرُ، فَنَقُولُ: «اسْتَأْسَرَهُ» أَيْ «أَخَذَهُ أَسِيرًا». جَاءَ فِي الْمُعْجَمُ الْوَسِيط»: «اسْتَأْسَرَهُ): أَخَذَهُ أَسِيرًا. وَلَهُ: اسْتَسْلَمَ الأَسْرِهِ». 
وَمِنْ هُنَا يَتَّضِحُ أَنَّ الْفِعْلَ «اسْتَأْثَرَ» يَعْنِي تَفْضِيلَ النَّفْسِ عَلَى الْآخَرِ، وَاسْتَأْسَرَ» يَعْنِي اتَّخَاذَ الْآخَرِ أَسِيرًا، أَوْ الِاسْتِسْلَامَ الأَسْرِهِ. "
اسْتَغْرَقْتُ فِي الْعَمَلِ بِالْبِنَاءِ لِلْمَعْلُومٍ).,اسْتُغْرِقْتُ فِي الْعَمَلِ بِالْبِنَاءِ لِلْمَجْهُولِ). ,"يَشِيعُ خَطَأَ بِنَاءُ الْفِعْلِ «اسْتَغْرَقَ» لِلْمَعْلُومٍ فِي مِثْلِ «اسْتَغْرَقْتُ فِي عَمَلِي»، وَالصَّوَابُ أَنْ نَقُولَ: «اسْتُغْرِقْتُ فِي عَمَلِي»، فَالِاسْتِغْرَاقُ فِي اللُّغَةِ الْعَرَبِيَّةِ هُوَ الِاسْتِيعَابُ كَمَا جَاءَ فِي الْمِصْبَاحُ الْمُنِيرُ لأَبِي الْعَبَّاسِ الْقَيُّومِي الْمُقْرِي، أَيْ أَنَّهُ احْتِوَاهُ الْفَاعِلِ عَلَى الْمَفْعُولِ، وَفِي هَذَا الْمِثَالِ نَجِدُ أَنَّ الْعَمَلَ هُوَ الَّذِي يَحْتَوِي عَلَى الْعَامِلِ، وَيَحْتَوِي عَلَى سَاعَاتِ الْعَمَلِ فِي مِثْلِ «اسْتَغْرَقَ الْعَمَلُ سَاعَاتٍ»، لِأَنْ الْعَمَلَ هُوَ الظَّرْفُ الَّذِي يُطْرَفُ فِيهِ الْعَامِلُ وَسَاعَاتُ الْعَمَلِ. 
وَلَوْ أَنَّكَ قُلْتَ: «اسْتَغْرَقَنِي الْعَمَلُ سَاعَاتٍ»، و«اسْتَغْرَقْتُ سَاعَاتٍ فِي الْعَمَل» لالْتَبَسَ الْأَمْرُ لِأَنَّ الْفَاعِلَ فِي الْجُمْلَةِ الثَّانِيَةِ تَاءَ الْفَاعِلِ) هُوَ الْمَفْعُولُ بِهِ فِي الْجُمْلَةِ الْأُولَى يَاءُ الْمُتَكَلِّمِ، فَكَيْفَ يَكُونُ الْمُتَكَلِّمُ فَاعِلًّا وَمَفْعُولًا بِهِ فِي نَفْسِ الْوَقْتِ؟! 
إِذًا فَالصَّوَابُ أَنْ نَقُولَ: «اسْتَغْرَقَ الْعَمَلُ سَاعَاتٍ» وَاسْتَغْرَقَنِي الْعَمَلُ» وَاسْتَغْرَقَنِي الْعَمَلُ سَاعَاتٍ» وَاسْتُغْرِقْتُ فِي الْعَمَلِ» و«اسْتُغْرِقْتُ فِي الْعَمَلِ سَاعَاتٍ». وَالْخَطَأَ أَنْ نَقُولَ: «اسْتَغْرَقْتُ فِي الْعَمَلِ». "
اسْتَغْرَقْتُ فِي الْعَمَلِ بِالْبِنَاءِ لِلْمَعْلُومٍ).,اسْتَغْرَقَنِي الْعَمَلُ بِالْبِنَاءِ لِلْمَعْلُومٍ).,"يَشِيعُ خَطَأَ بِنَاءُ الْفِعْلِ «اسْتَغْرَقَ» لِلْمَعْلُومٍ فِي مِثْلِ «اسْتَغْرَقْتُ فِي عَمَلِي»، وَالصَّوَابُ أَنْ نَقُولَ: «اسْتُغْرِقْتُ فِي عَمَلِي»، فَالِاسْتِغْرَاقُ فِي اللُّغَةِ الْعَرَبِيَّةِ هُوَ الِاسْتِيعَابُ كَمَا جَاءَ فِي الْمِصْبَاحُ الْمُنِيرُ لأَبِي الْعَبَّاسِ الْقَيُّومِي الْمُقْرِي، أَيْ أَنَّهُ احْتِوَاهُ الْفَاعِلِ عَلَى الْمَفْعُولِ، وَفِي هَذَا الْمِثَالِ نَجِدُ أَنَّ الْعَمَلَ هُوَ الَّذِي يَحْتَوِي عَلَى الْعَامِلِ، وَيَحْتَوِي عَلَى سَاعَاتِ الْعَمَلِ فِي مِثْلِ «اسْتَغْرَقَ الْعَمَلُ سَاعَاتٍ»، لِأَنْ الْعَمَلَ هُوَ الظَّرْفُ الَّذِي يُطْرَفُ فِيهِ الْعَامِلُ وَسَاعَاتُ الْعَمَلِ. 
وَلَوْ أَنَّكَ قُلْتَ: «اسْتَغْرَقَنِي الْعَمَلُ سَاعَاتٍ»، و«اسْتَغْرَقْتُ سَاعَاتٍ فِي الْعَمَل» لالْتَبَسَ الْأَمْرُ لِأَنَّ الْفَاعِلَ فِي الْجُمْلَةِ الثَّانِيَةِ تَاءَ الْفَاعِلِ) هُوَ الْمَفْعُولُ بِهِ فِي الْجُمْلَةِ الْأُولَى يَاءُ الْمُتَكَلِّمِ، فَكَيْفَ يَكُونُ الْمُتَكَلِّمُ فَاعِلًّا وَمَفْعُولًا بِهِ فِي نَفْسِ الْوَقْتِ؟! 
إِذًا فَالصَّوَابُ أَنْ نَقُولَ: «اسْتَغْرَقَ الْعَمَلُ سَاعَاتٍ» وَاسْتَغْرَقَنِي الْعَمَلُ» وَاسْتَغْرَقَنِي الْعَمَلُ سَاعَاتٍ» وَاسْتُغْرِقْتُ فِي الْعَمَلِ» و«اسْتُغْرِقْتُ فِي الْعَمَلِ سَاعَاتٍ». وَالْخَطَأَ أَنْ نَقُولَ: «اسْتَغْرَقْتُ فِي الْعَمَلِ». "
